folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0762594306,7041,2,4,1,1,1,70,2,1,1,2,0,18746.84,2069.02,15432.3,8819.88,1617.39,0.0,257.14
0762594607,7041,3,4,1,1,1,49,8,5,3,5,3,21682.6,12510.48,24496.56,18488.49,1230.0,0.0,2057.14
0762594608,7041,3,4,1,1,2,64,6,2,4,4,2,22131.81,8950.81,11491.6,9642.76,0.0,0.0,0.0
0762594609,7041,2,4,1,4,1,53,2,1,1,2,0,10316.61,6673.76,5481.45,4551.37,150.0,78.26,0.0
0762594610,7041,2,4,1,6,1,43,5,2,3,5,0,64202.42,54553.25,58796.75,26845.49,3802.62,1545.65,7165.57
0762594611,7041,2,4,1,3,1,50,5,3,2,4,1,16969.89,11188.5,24764.17,11352.71,4861.95,156.51,900.0
0762594612,7041,2,4,1,4,1,45,4,1,3,4,0,40597.21,31513.27,16355.78,6171.31,150.0,1609.23,2051.3
0762594813,7041,1,4,1,3,1,55,1,1,0,1,0,3780.54,737.7,12155.81,7405.65,0.0,293.47,1919.98
0762594814,7041,2,4,1,6,2,47,3,1,2,2,1,18017.52,7903.27,11145.56,4101.35,1967.47,1007.59,450.0
0762594815,7041,3,4,1,4,1,86,7,3,4,5,2,25787.18,7983.92,11747.81,5489.91,1210.95,97.82,857.14
0762594816,7041,3,4,1,3,1,46,4,3,1,4,0,21946.68,9955.06,7832.71,5181.37,0.0,9.78,150.0
0762594817,7041,3,4,1,1,1,84,7,4,3,5,2,18495.0,2620.32,16156.35,10581.32,3053.47,48.91,0.0
0762594818,7041,2,4,1,8,2,21,2,0,2,1,1,34008.19,0.0,20130.87,5939.89,0.0,0.0,1242.85
0762595201,7044,2,4,1,1,1,52,6,2,4,5,1,42191.32,38417.13,15337.33,8267.03,751.92,372.68,150.0
0762595202,7044,3,4,1,1,1,66,6,3,3,5,1,64508.64,43358.23,32778.03,18938.42,566.11,3130.43,1073.57
0762595203,7044,2,4,1,3,1,42,10,6,4,4,6,39013.95,27584.5,6827.14,3175.67,1422.55,0.0,0.0
0762595204,7044,2,4,1,3,1,58,2,1,1,2,0,21950.27,14209.11,11258.84,7444.2,0.0,176.08,2282.14
0762595205,7044,3,4,1,1,1,57,10,6,4,6,4,36858.03,29418.12,17421.39,8164.22,725.8,102.7,12.5
0762595206,7044,2,4,1,1,2,53,3,1,2,3,0,26423.79,0.0,8001.99,6749.93,0.0,0.0,0.0
0762595507,7044,3,4,1,3,1,76,6,2,4,3,3,21587.94,0.0,9877.09,3394.23,0.0,430.42,540.0
0762595508,7044,2,4,1,3,1,57,2,1,1,2,0,7549.95,4646.73,18169.87,14978.45,0.0,166.3,0.0
0762595509,7044,2,4,1,6,1,36,7,5,2,4,3,38183.32,32329.54,17930.74,10967.04,2725.22,340.42,900.0
0762595510,7044,3,4,1,3,1,75,6,3,3,5,1,33204.32,12755.53,24980.29,11378.45,1080.0,3688.02,3085.71
0762595511,7044,2,4,1,3,2,45,3,1,2,3,0,20511.91,0.0,29868.56,13628.41,2932.24,1154.34,7130.31
0762595713,7044,2,4,1,6,1,44,5,2,3,4,1,22937.68,8085.24,23943.68,10028.45,2326.3,1418.45,3257.13
0762595714,7044,2,4,1,6,2,21,2,0,2,1,1,19812.18,0.0,13434.04,2571.38,245.9,3541.29,757.37
0762595715,7044,2,4,1,4,2,36,2,0,2,1,1,15687.08,6781.95,3165.09,1401.38,414.0,0.0,0.0
0762595716,7044,2,4,1,6,2,23,2,1,1,1,1,23359.61,0.0,17171.42,9257.02,0.0,851.07,802.13
0762595717,7044,2,4,1,6,2,34,7,3,4,3,4,41845.56,3337.37,21568.52,11674.22,997.82,3839.66,1214.75
0762595718,7044,2,4,1,4,1,53,3,1,2,3,0,74011.03,12902.44,78069.99,11121.33,1029.13,50879.31,9960.0
0762595919,7044,3,4,1,3,2,46,6,2,4,5,1,21995.08,20543.47,19127.74,12484.2,0.0,714.12,1609.21
0762595920,7044,2,4,1,4,1,33,8,6,2,4,4,25822.91,21130.42,16511.4,10375.65,0.0,210.31,0.0
0762595921,7044,2,4,1,6,2,23,2,1,1,1,1,29896.98,809.51,24628.39,6557.08,0.0,141.84,4551.15
0762595922,7044,3,4,1,3,1,62,6,2,4,5,1,19057.1,3207.71,7218.1,4512.81,0.0,1741.3,0.0
0762595923,7044,2,4,1,3,1,57,4,1,3,3,1,33225.52,19545.65,21518.1,11648.45,0.0,0.0,2657.14
0762595924,7044,2,4,1,6,2,25,4,2,2,1,3,15391.82,0.0,8523.89,3329.95,0.0,78.25,300.0
0762596019,7046,2,4,1,6,1,52,2,1,1,2,0,8713.03,1956.52,6540.6,3715.68,0.0,469.56,489.13
0762596020,7046,3,4,1,8,1,61,4,2,2,4,0,87847.39,82709.96,47266.57,16418.47,870.96,1574.97,21193.0
0762596021,7046,2,4,1,10,1,36,4,2,2,2,2,33888.76,22242.7,18602.37,7534.18,1705.63,0.0,4357.44
0762596022,7046,2,4,1,8,1,25,4,3,1,2,2,34818.97,27513.58,20795.66,10131.27,0.0,0.0,4299.07
0762596023,7046,2,4,1,6,2,33,3,2,1,3,0,33327.11,6456.51,24183.62,13294.15,1467.39,195.65,5155.05
0762596024,7046,2,4,1,6,1,35,6,3,3,2,4,37268.97,32207.26,20760.4,10915.58,0.0,660.31,4683.86
0762596401,7046,2,4,1,3,1,59,3,2,1,3,0,39929.37,37026.15,13768.99,6441.3,1050.0,0.0,3456.3
0762596402,7046,2,4,1,5,1,30,4,1,3,2,2,20134.58,15945.65,10314.68,4898.49,1091.58,0.0,2758.06
0762596403,7046,2,4,1,8,1,31,3,2,1,2,1,20240.21,20240.21,14037.22,6222.77,0.0,0.0,3372.57
0762596404,7046,2,4,1,6,1,49,4,2,2,3,1,35480.59,30235.15,19873.68,6968.49,2496.75,929.34,5016.71
0762596405,7046,2,4,1,8,1,68,3,2,1,3,0,68478.15,57382.79,17498.14,8395.61,1050.0,0.0,4064.51
0762596406,7046,2,4,1,6,1,54,2,1,1,2,0,16843.43,0.0,6914.64,3767.09,0.0,0.0,580.64
